id,name,geometry
16541597,Aral,POINT (13.345599 52.54631470000001)
26756830,Aral,POINT (13.3282249 52.53069430000001)
26867411,Bavaria petrol,POINT (13.2944957 52.501974399999995)
26882421,Aral,POINT (13.3206691 52.4842654)
27088369,Esso,POINT (13.1917042 52.4346409)
27259583,Esso,POINT (13.3414212 52.51972210000001)
27409122,Star,POINT (13.3029625 52.5189572)
29997723,Aral,POINT (13.280947400000002 52.508370199999995)
30022140,Curry 36,POINT (13.3876866 52.4934924)
58489979,Netto Marken-Discount,POINT (13.4073729 52.509818900000006)
60436247,HEM,POINT (13.306485400000001 52.57758270000001)
61818198,Aral,POINT (13.3091456 52.4924086)
63253672,Späti Joe,POINT (13.2961178 52.49932179999999)
64707597,Aral,POINT (13.421876 52.51385439999999)
68363395,Aral,POINT (13.4498737 52.4972334)
79418658,Ledo,POINT (13.3085471 52.57241739999999)
79422426,kiezmarkt,POINT (13.3124756 52.5716761)
79428988,nah & gut,POINT (13.3169308 52.5664033)
79438509,Nahkauf,POINT (13.321144 52.570486100000004)
83502731,JET,POINT (13.5501124 52.551989600000006)
84646591,Subway,POINT (13.3829698 52.53084369999999)
86001790,Subway,POINT (13.3899247 52.51581069999999)
89274884,Dunkin',POINT (13.4114731 52.52006759999999)
89312691,Burger King,POINT (13.41272 52.522655099999994)
101003688,nah und gut,POINT (13.3228827 52.4913971)
101387833,Total,POINT (13.4680868 52.547562699999986)
106982118,Hem,POINT (13.5313646 52.50967659999999)
106982123,McDonald's,POINT (13.531530000000002 52.50991179999999)
141469102,,POINT (13.1474707 52.5408415)
149607221,Konnopke’s Imbiß,POINT (13.412219 52.540474599999996)
150989271,Can,POINT (13.327947 52.564641800000004)
151015050,NORMA,POINT (13.5403083 52.5265407)
175685784,Netto Marken-Discount,POINT (13.3335139 52.59582619999998)
175706216,sun,POINT (13.3319568 52.59871149999999)
187648557,Esso,POINT (13.3358283 52.5646652)
205064299,AGIP ENI,POINT (13.364934600000002 52.4274591)
245261389,Aldi,POINT (13.3480665 52.55242319999999)
247687679,Shell,POINT (13.208529600000002 52.5588844)
248652663,Zweistrom,POINT (13.4216014 52.5392141)
249094185,Risa Chicken,POINT (13.4125546 52.54085799999999)
249675570,Netto Marken-Discount,POINT (13.548613500000002 52.5439135)
251340008,Edeka Leher,POINT (13.7149761 52.4315738)
251595302,PENNY,POINT (13.3706441 52.565038)
253256553,Netto,POINT (13.4550894 52.55150590000001)
253616592,Mein Markt Pham,POINT (13.4626981 52.511046699999994)
253616655,EDEKA Thaut,POINT (13.4709585 52.51006099999999)
253891060,Kreuzburger,POINT (13.4156212 52.5438563)
253999816,Öz-Gida,POINT (13.3570728 52.487314399999995)
254862675,EDEKA,POINT (13.4621306 52.47011559999999)
255328697,JET,POINT (13.234280400000001 52.5270741)
257704877,Lidl,POINT (13.2100323 52.54760379999999)
258535790,Aral,POINT (13.311020900000003 52.46826819999998)
259814897,SB Tank,POINT (13.540370400000002 52.5214343)
259835062,Lidl,POINT (13.1965568 52.54287519999999)
259855794,Aldi,POINT (13.2716801 52.50853680000001)
259974805,Agip,POINT (13.5650466 52.57214809999999)
260631653,Sprint,POINT (13.1911088 52.535985399999994)
260744445,Total,POINT (13.4786593 52.483804499999984)
260753892,McDonald's,POINT (13.3711438 52.46955289999998)
260753895,Aral,POINT (13.3709897 52.47002449999999)
261743904,REWE,POINT (13.3291604 52.5276119)
262318783,Total,POINT (13.4570058 52.4531463)
262353263,Kaufland,POINT (13.5078518 52.457312)
