id,name,type_info,geometry
172548,Londoner Straße,bus,POINT (13.342294 52.5635202)
530191,Kaserne Nordtor,bus,POINT (13.3170944 52.5599039)
530219,U Lindauer Allee,bus,POINT (13.3392818 52.5754052)
530279,Lindauer Allee/Residenzstraße,bus,POINT (13.3595757 52.5730067)
12615199,Galenusstraße,bus,POINT (13.4287678 52.5818183)
21302157,Tiergarten,light_rail,POINT (13.3364504 52.5143746)
21385742,Frankfurter Allee,light_rail,POINT (13.4742384 52.515661)
21385751,Storkower Straße,light_rail,POINT (13.4648885 52.5237432)
21487225,Jannowitzbrücke,light_rail,POINT (13.4194925 52.5142146)
21487255,Trabener Steg,bus,POINT (13.2818504 52.4977737)
21538161,Zehntwerderweg,bus,POINT (13.3174434 52.6116707)
21538167,Waidmannsluster Damm/Oraniendamm,bus,POINT (13.3242424 52.6075234)
26124364,Jungfernheide,light_rail,POINT (13.2992617 52.5304644)
26124376,Westend,light_rail,POINT (13.2844201 52.5180135)
26124401,Berlin Gesundbrunnen,,POINT (13.3894369 52.5486588)
26130448,Nikolassee,light_rail,POINT (13.1930501 52.4320176)
26554197,U Alt-Tempelhof,bus,POINT (13.3860306 52.4660859)
26603219,Wannsee,light_rail,POINT (13.1798077 52.4214071)
26627348,S Feuerbachstraße,bus,POINT (13.3319749 52.4638376)
26662472,Eisenzahnstraße,bus,POINT (13.3041907 52.4936372)
26703050,Großer Stern,bus,POINT (13.3513134 52.5155249)
26729575,Vionvillestraße,bus,POINT (13.32979 52.4455798)
26739106,Roseneck,bus,POINT (13.281976 52.4765409)
26739124,Roseneck/Teplitzer Straße,bus,POINT (13.2807267 52.47719)
26763074,Breitscheidplatz,bus,POINT (13.3364722 52.5052308)
26784428,Schlossbrücke,bus,POINT (13.2997023 52.5230985)
26784992,Zillestraße,bus,POINT (13.2970166 52.5128502)
26790049,Goerdelerdamm,bus,POINT (13.2981107 52.5349384)
26838137,Hasensprung,bus,POINT (13.2714933 52.486651)
26840974,Paulsenstraße,bus,POINT (13.314052 52.4653557)
26849064,U Friedrich-Wilhelm-Platz,bus,POINT (13.3282829 52.4708513)
26868080,Messegelände/ZOB,bus,POINT (13.2789868 52.5067462)
26904717,Heerstraße,light_rail,POINT (13.2598587 52.5078537)
26905405,U Theodor-Heuss-Platz Süd,bus,POINT (13.2724344 52.5088686)
26905943,S Zehlendorf,bus,POINT (13.2589892 52.4322811)
26906113,Zehlendorf Eiche,bus,POINT (13.2613999 52.4348475)
26906145,Sundgauer Straße,light_rail,POINT (13.2739864 52.4364446)
26906574,Rathaus Steglitz,light_rail,POINT (13.3217761 52.4550524)
26906615,Carmerplatz,bus,POINT (13.3195499 52.452451)
26906844,S+U Rathaus Steglitz,bus,POINT (13.3222336 52.4564821)
26907961,Friedenauer Brücke,bus,POINT (13.3370976 52.467397)
